Item;Ano;mês;receita bruta de vendas;deduções da receita bruta;impostos sobre vendas;devoluções de vendas;receita líquida de vendas;CMV (custo da mercadoria vendida);lucro bruto;despesas operacionais totais;lucro operacional;receitas não operacionais;despesas não operacionais;resultado antes da provisão para imposto de renda e contribuição social;provisão para imposto de renda;provisão para contribuição social;lucro líquido;contas a receber saldo;estoque inicial do mês de mercadorias para revenda saldo;estoque final do mês de mercadorias para revenda saldo;contas a pagar de fornecedores saldo;ativo total saldo;passivo total saldo;ativo circulante saldo;passivo circulante saldo;patrimônio líquido;disponibilidades saldo;pró-labore/distribuição de lucro;Lucratividade;Margem de Contribuição;Prazo médio de pagamentos;Prazo médio de recebimentos;Prazo médio de estocagem;ciclo de caixa;giro do estoque;termômetro de kanitz;liquidez imediata;roe;despesas financeiras líquidas;despesas com depreciações e amortizações;EBITDA;numero de vendas;ticket medio;despesas comerciais;despesas administrativas;Disponibilidades entradas;Disponibilidades Saida;Passivos Financeiros;ICD;INADIMP 30 OFF;OBSOL 90 OFF;Ativo NC;Outros AC;Outros PC;Passivo NC;Faturamento Digital;Venda Avulsa;Repasse de Parceiros;Comiss�es Recebidas;Manuten��o de Equipamentos;Marketing e Publicidade;Honor�rios Cont�beis;Taxas Banc�rias
2022;2022;jan;1839309,87;186182,21;78745,53;107436,68;1653127,66;1080251,44;572876,22;268608,83;304267,39;0;0;304267,39;0;0;304267,39;2356600,29;2713731,68;2822652,94;1987378,43;8345536,97;4986989,43;7094136,83;4986989,43;3358547,54;1880933,6;0;0,080497322;0,263604901;50,83317776;0,000366773;76,87633288;26,0435219;0,390237136;7,801521999;0,377168155;0,035159598;49593;0;0,101430872;0;inf;30989;188026;1570471;1405159;2464177;0,287492632;0;0;1251400,14;33950;535434;0;350000;330000;320000;380000;310000;315000;306000;316000
2022;2022;fev;1367071,02;136602,27;57942,45;78659,82;1230468,75;811010,22;419458,53;260471,06;158987,47;0;0;158987,47;0;0;158987,47;2227417,61;2822652,94;2664194,04;1662700,27;8103359,85;4390733,27;6851959,71;4390733,27;3712626,58;1916410,06;0;0,020464289;0,2585839;77,50164367;0,000464904;101,4817109;23,98053215;0,29561977;8,47582853;0,436466973;0,006029478;36914;0;0,048192366;0;inf;89253;134304;1168945;1291992;2195800;0,212245294;0;0;1251400,14;43938;532233;0;400000;410000;415000;425000;325000;305000;205000;235000
2022;2022;mar;1285059,5;133104,57;54942,12;78162,45;1151954,93;762722,52;389232,41;255745,65;133486,76;0;0;133486,76;0;0;133486,76;2284153,81;2664194,04;2805185,28;1498006,01;8082509,46;4148590,01;6831109,4;4148590,01;3933919,45;1680906,19;0;0,000375119;0,251389066;50,41900598;0,000511848;107,5629572;57,1444631;0,278906426;8,753072489;0,405175297;9,72E-05;34558;0;0,030331213;0;inf;73453;147734;1094357;1267150;2118630;0,079822457;0;0;1251400,14;60864,12;531954;0;380000;390000;395000;391000;291000;251000;351000;301000
2022;2022;abr;1113409,51;110851,02;43510,32;67340,7;1002558,49;647114,44;355444,05;241006,75;114437,3;0;0;114437,3;0;0;114437,3;1857654,27;2805185,2;2634288,58;596770,73;7061625,21;2287676,73;5810225,07;2287676,73;4773948,48;1284414,97;0;0,004021812;0,274297388;38,11654165;0,000475629;126,0860547;87,96998871;0,237932736;12,87198685;0,561449506;0,000751219;30076;0;0,033576375;0;inf;90056;120874;952431;902303;1192251;-0,365243381;0;0;1251400,14;33867,25;498655;0;330000;340000;348000;328000;228000;218000;218000;318000
2022;2022;mai;1354448,54;136812,76;50079,51;86733,25;1217635,78;801235,35;416400,43;233034,07;183366,36;0;0;183366,36;0;0;183366,36;1837153,16;2634288,58;2485960,23;554314,79;7066432,94;2178889,79;5815032,8;2178889,79;4887543,15;1468965,41;0;0,043072362;0,258680343;25,82359845;0,000388076;95,85664456;70,03343418;0,31296735;13,75165607;0,674180684;0,009524949;36529;0;0,068232719;0;inf;89062;107443;1156754;974109;1129897;-0,245031969;0;0;1251400,14;22954;494678;0;385000;395000;396000;306000;302000;303000;203000;303000
2022;2022;jun;1927754,37;196346,53;71273,25;125073,28;1731407,84;1156343,36;575064,48;258761,24;316303,24;0;0;316303,24;0;0;316303,24;2102124,41;2485960,23;2697102,69;1440311,76;8124239,87;3715887,76;6872839,73;3715887,76;4408352,11;2061091,63;0;0,078144573;0,246711938;32,03651699;0,00031265;67,23430643;35,19810209;0,44620078;9,83688288;0,554670045;0,027211236;51942;0;0,099282622;0;inf;59085;147734;1644837;1298556;1871808;-0,908154128;0;0;1251400,14;12521;403768;0;395000;395500;397500;307500;301500;302500;202500;282500
2022;2022;jul;2344590,6;230560,82;86587,26;143973,56;2114029,78;1449107,36;664922,42;292890,89;372031,53;0;0;372031,53;0;0;372031,53;2587661,29;2697102,69;2948096,31;2354468,54;9071686,6;5427405,54;7820286,46;5427405,54;3644281,06;2270196,28;0;0,075111782;0,23061787;42,12401828;0,000313671;58,43458348;16,31087887;0,513394607;7,965497781;0,418283886;0,038819923;63420;0;0,0969195;0;inf;73677;155793;2008328;1796925;2669972;0,512514142;0;0;1251400,14;14332,58;402965;0;398600;398300;338300;318300;328300;318300;218300;228300
2022;2022;ago;2399191,31;239423,29;90327,76;149095,53;2159768,02;1482602,44;677165,58;307980,04;369185,54;0;0;369185,54;0;0;369185,54;2863535,14;2948096,31;3189227,88;2769422,29;9836679,93;6336484,29;8585279,79;6336484,29;3500195,64;2506549,77;0;0,067572373;0,227949848;48,86867357;0,000340447;62,09342462;13,2250915;0,483142944;7,620015036;0,39557421;0,037072856;64793;0;0,09008155;0;inf;114255;128932;2051780;2051780;3129603;0,312261041;0;0;1251400,14;25967;437459;0;397200;397400;391400;301400;300400;303400;203400;233400
2022;2022;set;2354855,92;231923,3;90873,08;141050,22;2122932,62;1467728,18;655204,44;340552,98;314651,46;0;0;314651,46;0;0;314651,46;2855871,31;3189227,88;3260447,82;2935422,72;10354976,13;6768637,72;9042766,49;6768637,72;3586338,41;2847542,36;0;0,04374815;0,223838738;58,01740373;0,000344803;65,91488589;7,89782696;0,455132397;7,597058634;0,420696524;0,023067583;63687;0;0,06896835;0;inf;182852;94013;2016786;2229079;3396327;0,26679894;0;0;1312209,64;78905;436888;0;329780;329180;369180;379180;279180;299180;279180;259180
2022;2022;out;2501771,67;244295,57;97688,63;146606,94;2257476,1;1569129,83;688346,27;311293,28;377052,99;0;0;377052,99;0;0;377052,99;3184502,19;3260447,82;3210976,46;2783310,04;10347146,2;6395239,04;9034936,56;6395239,04;3951907,16;2586001,13;0;0,065944121;0,220571724;55,7092369;0,000361148;61,86318197;6,15430621;0,484941108;7,935725352;0,404363483;0,033593254;67724;0;0,088807771;0;inf;120009;123560;2144602;1918855;3164054;0,346821944;0;0;1312209,64;53456,78;447875;0;330730;330930;335930;345930;245930;265930;285930;265930
2022;2022;nov;2442218,88;239959,04;95045,74;144913,3;2202259,84;1541453,17;660806,67;298728,8;362077,87;0;0;362077,87;0;0;362077,87;3441445,33;3210976,46;3661036,44;3003021,59;10836945,13;6834771,59;9524735,34;6834771,59;4002173,54;2334832,45;0;0,062232472;0,214466421;45,8655805;0,000400407;66,87208895;21,00690886;0,448617659;7,704069886;0,341610896;0,030513127;66078;0;0,085456233;0;inf;71496;161165;2092147;2422486;3382097;0,179703237;0;0;1312209,79;87421,12;449653;0;329567;349567;359567;339567;239567;259567;239567;249567
2022;2022;dez;2454748,54;242389,37;94997,62;147391,75;2212359,17;1505406,97;706952,2;283504,78;423447,42;0;0;423447,42;0;0;423447,42;3791237,33;3661036,44;3913315,07;3064388,92;11142827,49;6871468,92;9880617,7;6871468,92;4271358,57;2132840,3;0;0,091909049;0,235822311;53,02910618;0,000439387;75,47146713;22,44280033;0,397501217;7,815729605;0,310390737;0,042388867;66370;0;0,111839006;0;inf;115063;102071;2101741;1991123;3336428;0,205575423;0;0;1262209,79;43225;470652;0;311267;411267;412267;452267;352267;332267;342267;312267
2023;2023;jan;2123536,48;194037,68;81857,97;112179,71;1929498,8;1319763;609735,8;345611,96;264123,84;0;0;264123,84;0;0;264123,84;2972951,07;3913315,07;3687141,62;2949713,3;10357056,97;6353119,3;9114210,14;6353119,3;4003937,67;2396964,28;0;0,040384748;0,239531797;82,0421576;0,00039111;86,38433594;4,34256945;0,347285184;7,767595499;0,377289355;0,017504308;57884;0;0,066323006;0;inf;121190;166537;1833024;1736549;2906863;0,250971722;0;0;1242846,83;57153,17;496543;0;423789;433789;443789;403789;303789;305789;308789;318789
