ano;mes;campo_pai;subconta;valor
2019;dez;estoque final do mês de mercadorias para revenda saldo;FORNECEDORES DE MERCADORIA;1845502,29
2019;dez;estoque final do mês de mercadorias para revenda saldo;CUSTO DA MERCADORIA VENDIDA.;1108938,83
2019;dez;disponibilidades saldo;CAIXA COFRE;62423,22
2019;dez;disponibilidades saldo;CAIXA RETAGUARDA;6127,62
2019;dez;disponibilidades saldo;CAIXA CUSTODIA;30558,67
2019;dez;disponibilidades saldo;CAIXA CUSTODIA LOJA;502,15
2019;dez;disponibilidades saldo;C/C BANCO ITAÚ 16526-9;356713,35
2019;dez;disponibilidades saldo;C/C BANCO SANTANDER 130023959;65,55
2019;dez;disponibilidades saldo;C/C BANCO BRADESCO 132672-4;235550,47
2019;dez;disponibilidades saldo;C/C BANCO ITAU 51806-201;776836,24
2019;dez;disponibilidades saldo;C/C BANCO ITAÚ 53840-201;255292,81
2019;dez;disponibilidades saldo;C/C BANCO ITAÚ 19465-7;129,57
2019;dez;contas a receber saldo;DUPLICATAS A RECEBER;587376,99
2019;dez;contas a receber saldo;CARTOES A RECEBER;1738778,2
2019;dez;contas a pagar de fornecedores saldo;CREDITO DEVOL. FORNECEDORES;31087,84
2019;dez;Outros AC;(-) PROVISAO P/ DEVED DUVID;-651899,68
2019;dez;Outros AC;ICMS A RECUPERAR;5362,13
2019;dez;Outros AC;ADIANTAMENTO A FORNECEDORES;73203,79
2019;dez;Outros AC;ADIANTAMENTO A FUNCIONARIOS;5228,57
2019;dez;estoque final do mês de mercadorias para revenda saldo;MERCADORIAS P/REVENDA;2713731,68
2019;dez;Ativo NC;MAQUINAS EQUIPAMENTOS;135926,48
2019;dez;Ativo NC;MOVEIS UTENSILIOS;87041,25
2019;dez;Ativo NC;VEICULOS;164905,81
2019;dez;Ativo NC;EQUIPAMENTOS DE INFORMATICA;138721,3
2019;dez;Ativo NC;EQUIPAMENTOS DE TELEFONIA;15334,95
2019;dez;despesas com depreciações e amortizações;(-) DEPRECIACAO ACUMULADA;-348840,07
2019;dez;contas a pagar de fornecedores saldo;FORNECEDORES DE MERCADORIA;1845502,29
2019;dez;contas a pagar de fornecedores saldo;OUTROS FORNECEDORES;55041,3
2019;dez;contas a receber saldo;ADIANTAMENTOS DE CLIENTES;28000,38
2019;dez;contas a receber saldo;CREDITO DEVOL. DE CLIENTES;28891,84
2019;dez;Outros PC;SALARIOS A PAGAR;6124,76
2019;dez;Outros PC;PROVISOES ENCARGOS;40229,96
2019;dez;Passivos Financeiros;EMPRESTIMO ITAU;212862,84
2019;dez;Passivos Financeiros;(-) JUROS EMPRESTIMO ITAU;-46196,19
2019;dez;PL;RESERVAS DE LUCROS;2105631,35
2019;dez;receita bruta de vendas;VENDA BALCAO A VISTA;1066136,19
2019;dez;receita bruta de vendas;VENDA BALCAO A PRAZO;721440,23
2019;dez;receita bruta de vendas;VENDA TELE-VENDAS A VISTA;175,67
2019;dez;receita bruta de vendas;VENDAS DE SERVICOS A VISTA;16307,81
2019;dez;receita bruta de vendas;VENDAS DE SERVICOS A PRAZO;47982,41
2019;dez;despesas financeiras líquidas;JUROS RECEBIDOS;908,14
2019;dez;CMV (custo da mercadoria vendida);CUSTO DA MERCADORIA VENDIDA.;1108938,83
2019;dez;Outros PC;SALARIOS;83799,01
2019;dez;Outros PC;13° SALARIO;143577,22
2019;dez;despesas comerciais;PROPAGANDA PUBLICIDADE;1600,0
2019;dez;receita bruta de vendas;FRETES S/VENDAS;85,62
2019;dez;despesas administrativas;ENERGIA ELETRICA;4886,48
2019;dez;Outros PC;DESPESA SALARIO FAMILA;930,8
2019;dez;Ativo NC;MANUTENÇÃO DE MÁQUINAS E EQUIP;940,0
2019;dez;Outros AC;PROVISÃO DE DEVED DUVID;2066,92
2019;dez;despesas administrativas;HONORARIOS DIRETORIA;5000,0
2019;dez;despesas administrativas;HONORARIOS CONTABEIS;5502,5
2019;dez;despesas administrativas;HONORARIOS JURIDICOS;1500,0
2019;dez;despesas administrativas;MATERIAL DE CONSUMO;440,03
2019;dez;despesas administrativas;MATERIAL DE ESCRITORIO;998,0
2019;dez;despesas administrativas;TELEFONE;1653,17
2019;dez;despesas administrativas;AGUA;1230,07
2019;dez;Ativo NC;MANUTENCAO VEICULOS;25,0
2019;dez;despesas administrativas;COMBUSTIVEIS;1018,06
2019;dez;despesas administrativas;SEGUROS;324,18
2019;dez;despesas administrativas;CONSERTOS E REPAROS;896,06
2019;dez;despesas administrativas;GRAFICAS E IMPRESSOS;1060,0
2019;dez;despesas com depreciações e amortizações;DEPRECIACAO;7684,91
2019;dez;despesas administrativas;LIMPEZA E CONSERVACAO;567,4
2019;dez;despesas administrativas;COPA E COZINHA;578,06
2019;dez;despesas administrativas;MENSALIDADES DE ASSOCIACOES;1251,8
2019;dez;despesas comerciais;BRINDES E DOACOES;1012,5
2019;dez;despesas administrativas;JORNAIS E REVISTAS;69,75
2019;dez;despesas administrativas;DESPESAS MEDICAS E HOSPITALAR;281,89
2019;dez;Ativo NC;IMOBILIZADO DE BAIXO VALOR;969,9
2019;dez;contas a pagar de fornecedores saldo;JUROS PAGOS A FORNECEDORES;2055,06
2019;dez;Passivos Financeiros;JUROS S/EMPRESTIMOS;4756,51
2019;dez;contas a receber saldo;ANTECIPACAO CARTOES A RECEBER;2653,45
2019;dez;despesas financeiras líquidas;JUROS SOBRE CHEQUE ESPECIAL;829,78
