ano;mes;campo_pai;subconta;valor
2021;mar;disponibilidades saldo;Caixa Cofre 111010-1;13776,14
2021;mar;disponibilidades saldo;Caixa Retaguarda 111010-3;15866,79
2021;mar;disponibilidades saldo;Caixa Custodia 111010-4;7595,95
2021;mar;disponibilidades saldo;C/C Banco Itaú 16526 111020-1;-1352385,95
2021;mar;disponibilidades saldo;C/C Banco Bradesco 2 111020-8;2229626,18
2021;mar;disponibilidades saldo;c/c banco itau 54007 111021-3;494351,02
2021;mar;disponibilidades saldo;c/c banco itaú 54198 111021-4;251139,67
2021;mar;disponibilidades saldo;c/c banco itau 54742 111021-5;255125,31
2021;mar;disponibilidades saldo;BANCO ITAU 16526-9 A 111021-6;706958,2
2021;mar;contas a receber saldo;Duplicatas a Receber 112010-1;571329,58
2021;mar;contas a receber saldo;Cartoes a Receber 112010-2;4578813,01
2021;mar;Outros AC;Adiantamento a Forne 112060-1;51269,67
2021;mar;Outros AC;Adiantamento a Funci 112060-2;18248,32
2021;mar;Outros AC;Adiantamentos a soci 112060-4;27980,76
2021;mar;Outros AC;Adiantamentos a fuci 112060-5;30,9
2021;mar;Ativo NC;Maquinas Equipamento 132010-3;359466,8
2021;mar;Ativo NC;Moveis Utensilios 132010-4;87041,25
2021;mar;Ativo NC;Veiculos 132010-5;164811,0
2021;mar;despesas com depreciações e amortizações;(-) Depreciacao Acum 132010-6;-297769,26
2021;mar;contas a pagar de fornecedores saldo;Fornecedores de Merc 211010-1;2060477,47
2021;mar;contas a pagar de fornecedores saldo;Outros Fornecedores 211010-2;14648,53
2021;mar;Outros AC;Adiantamentos de Cli 211030-1;101993,61
2021;mar;Outros AC;Adiantamento de Cart 211030-6;4235,6
2021;mar;Outros PC;Provisoes 13 Salari 211080-2;22338,62
2021;mar;Outros PC;Provisoes Encargos 211080-3;43193,01
2021;mar;receita bruta de vendas;Venda Balcao a Vista 311010-1;3413747,25
2021;mar;receita bruta de vendas;Venda Balcao a Prazo 311010-2;2643371,51
2021;mar;receita bruta de vendas;Venda Tele-Vendas a 311010-3;915,61
2021;mar;receita bruta de vendas;Vendas de Servicos a 311020-1;65904,03
2021;mar;receita bruta de vendas;Vendas de Servicos a 311020-2;157072,44
2021;mar;despesas financeiras líquidas;Juros Recebidos 312010-1;9152,14
2021;mar;receita bruta de vendas;Venda de Bem Imobili 321010-1;77300,0
2021;mar;CMV (custo da mercadoria vendida);Custo da Mercadoria 411020-1;3916591,02
2021;mar;Outros PC;Salarios 421010-1;255804,25
2021;mar;despesas comerciais;Comissoes sobre resu 421010-6;11618,02
2021;mar;despesas administrativas;Energia Eletrica 421011-2;16116,06
2021;mar;Outros PC;Despesa Salario Fami 421012-0;3793,98
2021;mar;despesas administrativas;Honorarios Contabeis 421020-2;7750,0
2021;mar;despesas administrativas;Honorarios Juridicos 421020-3;1100,0
2021;mar;despesas administrativas;Material de Consumo 421020-4;10271,12
2021;mar;despesas administrativas;Telefone 421020-6;5811,35
2021;mar;despesas administrativas;Agua 421020-7;4210,77
2021;mar;Ativo NC;Manutencao Veiculos 421020-8;460,0
2021;mar;despesas administrativas;Combustiveis 421020-9;1193,53
2021;mar;despesas administrativas;Seguros 421021-0;1499,13
