ano;mes;campo_pai;subconta;valor
2024;jan;disponibilidades saldo;Caixa e Bancos;1000000,0
2024;fev;disponibilidades saldo;Caixa e Bancos;1008000,0
2024;mar;disponibilidades saldo;Caixa e Bancos;1016064,0
2024;abr;disponibilidades saldo;Caixa e Bancos;1024193,0
2024;mai;disponibilidades saldo;Caixa e Bancos;1032386,0
2024;jun;disponibilidades saldo;Caixa e Bancos;1040645,0
2024;jul;disponibilidades saldo;Caixa e Bancos;1048970,0
2024;ago;disponibilidades saldo;Caixa e Bancos;1057362,0
2024;set;disponibilidades saldo;Caixa e Bancos;1065821,0
2024;out;disponibilidades saldo;Caixa e Bancos;1074348,0
2024;nov;disponibilidades saldo;Caixa e Bancos;1082942,0
2024;dez;disponibilidades saldo;Caixa e Bancos;1091606,0
2025;jan;disponibilidades saldo;Caixa e Bancos;1100339,0
2025;fev;disponibilidades saldo;Caixa e Bancos;1109141,0
2025;mar;disponibilidades saldo;Caixa e Bancos;1118015,0
2025;abr;disponibilidades saldo;Caixa e Bancos;1126959,0
2025;mai;disponibilidades saldo;Caixa e Bancos;1135974,0
2025;jun;disponibilidades saldo;Caixa e Bancos;1145062,0
2025;jul;disponibilidades saldo;Caixa e Bancos;1154223,0
2025;ago;disponibilidades saldo;Caixa e Bancos;1163456,0
2025;set;disponibilidades saldo;Caixa e Bancos;1172764,0
2025;out;disponibilidades saldo;Caixa e Bancos;1182146,0
2025;nov;disponibilidades saldo;Caixa e Bancos;1191603,0
2025;dez;disponibilidades saldo;Caixa e Bancos;1201136,0
2026;jan;disponibilidades saldo;Caixa e Bancos;1210745,0
2026;fev;disponibilidades saldo;Caixa e Bancos;1220431,0
2026;mar;disponibilidades saldo;Caixa e Bancos;1230195,0
2026;abr;disponibilidades saldo;Caixa e Bancos;1240036,0
2026;mai;disponibilidades saldo;Caixa e Bancos;1249956,0
2026;jun;disponibilidades saldo;Caixa e Bancos;1259956,0
2026;jul;disponibilidades saldo;Caixa e Bancos;1270036,0
2026;ago;disponibilidades saldo;Caixa e Bancos;1280196,0
2026;set;disponibilidades saldo;Caixa e Bancos;1290438,0
2026;out;disponibilidades saldo;Caixa e Bancos;1300761,0
2026;nov;disponibilidades saldo;Caixa e Bancos;1311167,0
2026;dez;disponibilidades saldo;Caixa e Bancos;1321657,0
2024;jan;disponibilidades saldo;Aplicações Financeiras;680000,0
2024;fev;disponibilidades saldo;Aplicações Financeiras;685440,0
2024;mar;disponibilidades saldo;Aplicações Financeiras;690924,0
2024;abr;disponibilidades saldo;Aplicações Financeiras;696451,0
2024;mai;disponibilidades saldo;Aplicações Financeiras;702023,0
2024;jun;disponibilidades saldo;Aplicações Financeiras;707639,0
2024;jul;disponibilidades saldo;Aplicações Financeiras;713300,0
2024;ago;disponibilidades saldo;Aplicações Financeiras;719006,0
2024;set;disponibilidades saldo;Aplicações Financeiras;724758,0
2024;out;disponibilidades saldo;Aplicações Financeiras;730556,0
2024;nov;disponibilidades saldo;Aplicações Financeiras;736401,0
2024;dez;disponibilidades saldo;Aplicações Financeiras;742292,0
2025;jan;disponibilidades saldo;Aplicações Financeiras;748230,0
2025;fev;disponibilidades saldo;Aplicações Financeiras;754216,0
2025;mar;disponibilidades saldo;Aplicações Financeiras;760250,0
2025;abr;disponibilidades saldo;Aplicações Financeiras;766332,0
2025;mai;disponibilidades saldo;Aplicações Financeiras;772463,0
2025;jun;disponibilidades saldo;Aplicações Financeiras;778642,0
2025;jul;disponibilidades saldo;Aplicações Financeiras;784871,0
2025;ago;disponibilidades saldo;Aplicações Financeiras;791150,0
2025;set;disponibilidades saldo;Aplicações Financeiras;797480,0
2025;out;disponibilidades saldo;Aplicações Financeiras;803859,0
2025;nov;disponibilidades saldo;Aplicações Financeiras;810290,0
2025;dez;disponibilidades saldo;Aplicações Financeiras;816773,0
2026;jan;disponibilidades saldo;Aplicações Financeiras;823307,0
2026;fev;disponibilidades saldo;Aplicações Financeiras;829893,0
2026;mar;disponibilidades saldo;Aplicações Financeiras;836532,0
2026;abr;disponibilidades saldo;Aplicações Financeiras;843225,0
2026;mai;disponibilidades saldo;Aplicações Financeiras;849970,0
2026;jun;disponibilidades saldo;Aplicações Financeiras;856770,0
2026;jul;disponibilidades saldo;Aplicações Financeiras;863624,0
2026;ago;disponibilidades saldo;Aplicações Financeiras;870533,0
2026;set;disponibilidades saldo;Aplicações Financeiras;877498,0
2026;out;disponibilidades saldo;Aplicações Financeiras;884518,0
2026;nov;disponibilidades saldo;Aplicações Financeiras;891594,0
2026;dez;disponibilidades saldo;Aplicações Financeiras;898726,0
2024;jan;contas a receber saldo;Clientes;1680000,0
2024;fev;contas a receber saldo;Clientes;1693440,0
2024;mar;contas a receber saldo;Clientes;1706988,0
2024;abr;contas a receber saldo;Clientes;1720643,0
2024;mai;contas a receber saldo;Clientes;1734409,0
2024;jun;contas a receber saldo;Clientes;1748284,0
2024;jul;contas a receber saldo;Clientes;1762270,0
2024;ago;contas a receber saldo;Clientes;1776368,0
2024;set;contas a receber saldo;Clientes;1790579,0
2024;out;contas a receber saldo;Clientes;1804904,0
2024;nov;contas a receber saldo;Clientes;1819343,0
2024;dez;contas a receber saldo;Clientes;1833898,0
2025;jan;contas a receber saldo;Clientes;1848569,0
2025;fev;contas a receber saldo;Clientes;1863358,0
2025;mar;contas a receber saldo;Clientes;1878264,0
2025;abr;contas a receber saldo;Clientes;1893291,0
2025;mai;contas a receber saldo;Clientes;1908437,0
2025;jun;contas a receber saldo;Clientes;1923704,0
2025;jul;contas a receber saldo;Clientes;1939094,0
2025;ago;contas a receber saldo;Clientes;1954607,0
2025;set;contas a receber saldo;Clientes;1970244,0
2025;out;contas a receber saldo;Clientes;1986006,0
2025;nov;contas a receber saldo;Clientes;2001894,0
2025;dez;contas a receber saldo;Clientes;2017909,0
2026;jan;contas a receber saldo;Clientes;2034052,0
2026;fev;contas a receber saldo;Clientes;2050324,0
2026;mar;contas a receber saldo;Clientes;2066727,0
2026;abr;contas a receber saldo;Clientes;2083261,0
2026;mai;contas a receber saldo;Clientes;2099927,0
2026;jun;contas a receber saldo;Clientes;2116726,0
2026;jul;contas a receber saldo;Clientes;2133660,0
2026;ago;contas a receber saldo;Clientes;2150729,0
2026;set;contas a receber saldo;Clientes;2167935,0
2026;out;contas a receber saldo;Clientes;2185279,0
2026;nov;contas a receber saldo;Clientes;2202761,0
2026;dez;contas a receber saldo;Clientes;2220383,0
2024;jan;estoque final do mês de mercadorias para revenda saldo;Estoques;784000,0
2024;fev;estoque final do mês de mercadorias para revenda saldo;Estoques;790272,0
2024;mar;estoque final do mês de mercadorias para revenda saldo;Estoques;796594,0
2024;abr;estoque final do mês de mercadorias para revenda saldo;Estoques;802967,0
2024;mai;estoque final do mês de mercadorias para revenda saldo;Estoques;809391,0
2024;jun;estoque final do mês de mercadorias para revenda saldo;Estoques;815866,0
2024;jul;estoque final do mês de mercadorias para revenda saldo;Estoques;822393,0
2024;ago;estoque final do mês de mercadorias para revenda saldo;Estoques;828972,0
2024;set;estoque final do mês de mercadorias para revenda saldo;Estoques;835604,0
2024;out;estoque final do mês de mercadorias para revenda saldo;Estoques;842288,0
2024;nov;estoque final do mês de mercadorias para revenda saldo;Estoques;849027,0
2024;dez;estoque final do mês de mercadorias para revenda saldo;Estoques;855819,0
2025;jan;estoque final do mês de mercadorias para revenda saldo;Estoques;862666,0
2025;fev;estoque final do mês de mercadorias para revenda saldo;Estoques;869567,0
2025;mar;estoque final do mês de mercadorias para revenda saldo;Estoques;876523,0
2025;abr;estoque final do mês de mercadorias para revenda saldo;Estoques;883536,0
2025;mai;estoque final do mês de mercadorias para revenda saldo;Estoques;890604,0
2025;jun;estoque final do mês de mercadorias para revenda saldo;Estoques;897729,0
2025;jul;estoque final do mês de mercadorias para revenda saldo;Estoques;904911,0
2025;ago;estoque final do mês de mercadorias para revenda saldo;Estoques;912150,0
2025;set;estoque final do mês de mercadorias para revenda saldo;Estoques;919447,0
2025;out;estoque final do mês de mercadorias para revenda saldo;Estoques;926803,0
2025;nov;estoque final do mês de mercadorias para revenda saldo;Estoques;934217,0
2025;dez;estoque final do mês de mercadorias para revenda saldo;Estoques;941691,0
2026;jan;estoque final do mês de mercadorias para revenda saldo;Estoques;949224,0
2026;fev;estoque final do mês de mercadorias para revenda saldo;Estoques;956818,0
2026;mar;estoque final do mês de mercadorias para revenda saldo;Estoques;964473,0
2026;abr;estoque final do mês de mercadorias para revenda saldo;Estoques;972188,0
2026;mai;estoque final do mês de mercadorias para revenda saldo;Estoques;979966,0
2026;jun;estoque final do mês de mercadorias para revenda saldo;Estoques;987806,0
2026;jul;estoque final do mês de mercadorias para revenda saldo;Estoques;995708,0
2026;ago;estoque final do mês de mercadorias para revenda saldo;Estoques;1003674,0
2026;set;estoque final do mês de mercadorias para revenda saldo;Estoques;1011703,0
2026;out;estoque final do mês de mercadorias para revenda saldo;Estoques;1019797,0
2026;nov;estoque final do mês de mercadorias para revenda saldo;Estoques;1027955,0
2026;dez;estoque final do mês de mercadorias para revenda saldo;Estoques;1036179,0
2024;jan;Outros AC;Impostos a Recuperar;96000,0
2024;fev;Outros AC;Impostos a Recuperar;96768,0
2024;mar;Outros AC;Impostos a Recuperar;97542,0
2024;abr;Outros AC;Impostos a Recuperar;98322,0
2024;mai;Outros AC;Impostos a Recuperar;99109,0
2024;jun;Outros AC;Impostos a Recuperar;99902,0
